,Name,IATA,Latitude,Longitude
97,CFB Cold Lake,YOD,54.40499877929688,-110.27899932861328
98,High Level Airport,YOJ,58.62139892578125,-117.16500091552734
99,Ottawa Macdonald-Cartier International Airport,YOW,45.3224983215332,-75.66919708251953
100,Prince Albert Glass Field,YPA,53.214199066199996,-105.672996521
101,Peace River Airport,YPE,56.226898,-117.446999
102,Southport Airport,YPG,49.903099,-98.27381700000001
103,Pitt Meadows Airport,\N,49.21609878540039,-122.70999908447266
104,Pickle Lake Airport,YPL,51.4463996887207,-90.21420288085938
105,Port Menier Airport,YPN,49.83639907836914,-64.28859710693361
106,Peterborough Airport,YPQ,44.22999954223633,-78.36329650878906
107,Prince Rupert Airport,YPR,54.2860984802,-130.445007324
108,Fort Chipewyan Airport,YPY,58.7672004699707,-111.11699676513672
109,Muskoka Airport,YQA,44.974700927734375,-79.30329895019531
110,Quebec Jean Lesage International Airport,YQB,46.7911,-71.393303
111,Red Deer Regional Airport,YQF,52.18220138549805,-113.8939971923828
112,Windsor Airport,YQG,42.27560043334961,-82.95559692382812
113,Watson Lake Airport,YQH,60.11640167236328,-128.82200622558594
114,Kenora Airport,YQK,49.78829956054688,-94.36309814453124
115,Lethbridge County Airport,YQL,49.6302986145,-112.80000305200001
116,Greater Moncton International Airport,YQM,46.11220169067383,-64.67859649658203
117,Comox Airport,YQQ,49.71080017089844,-124.88700103759766
118,Regina International Airport,YQR,50.43190002441406,-104.66600036621094
119,Thunder Bay Airport,YQT,48.37189865112305,-89.32389831542969
120,Grande Prairie Airport,YQU,55.1796989441,-118.885002136
121,Yorkton Municipal Airport,YQV,51.26470184326172,-102.46199798583984
122,North Battleford Airport,YQW,52.76919937133789,-108.24400329589844
123,Gander International Airport,YQX,48.9369010925293,-54.56809997558594
124,Sydney / J.A. Douglas McCurdy Airport,YQY,46.1614,-60.047798
125,Quesnel Airport,YQZ,53.026100158691406,-122.51000213623048
126,Resolute Bay Airport,YRB,74.71690368649999,-94.9693984985
127,Rivière-du-Loup Airport,YRI,47.76440048217773,-69.58470153808594
128,Roberval Airport,YRJ,48.52000045776367,-72.2656021118164
129,Rocky Mountain House Airport,YRM,52.4296989441,-114.903999329
130,Rankin Inlet Airport,YRT,62.811401367200006,-92.1157989502
131,Sudbury Airport,YSB,46.625,-80.79889678955078
132,Sherbrooke Airport,YSC,45.4385986328125,-71.69139862060547
133,Saint John Airport,YSJ,45.31610107421875,-65.89029693603516
134,Fort Smith Airport,YSM,60.020301818847656,-111.96199798583984
135,Nanisivik Airport,YSR,72.982201,-84.613602
136,Summerside Airport,YSU,46.44060134887695,-63.83359909057617
137,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,71.9938964844,-125.24299621600001
138,Cape Dorset Airport,YTE,64.2300033569,-76.5267028809
139,Thompson Airport,YTH,55.80110168457031,-97.86419677734376
